#,State,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Total Cases per million,Total Deaths per million,Tests,Tests per million,Total Population
1,California,"2,345,657",,"26,294",,"971,395","1,347,968","59,365",665,"33,058,311","836,660","28,995,881"
2,Texas,"1,784,569",,"28,506",,"1,453,639","302,424","61,546",983,"15,832,807","546,036","21,477,737"
3,Florida,"1,323,315",,"21,673",,"735,381","566,261","61,613","1,009","15,703,599","731,157","19,453,561"
4,New York,"1,031,053",,"38,145",,"478,718","514,190","53,001","1,961","25,504,313","1,311,036","12,671,821"
5,Illinois,"970,590",,"18,173",,"697,704","254,713","76,594","1,434","13,374,665","1,055,465","11,689,100"
6,Ohio,"700,380",,"8,962",,"556,106","135,312","59,917",767,"7,680,270","657,045","10,617,423"
7,Georgia,"677,589",,"10,958",,"345,717","320,914","63,819","1,032","5,806,022","546,839","12,801,989"
8,Pennsylvania,"661,731","8,772","16,307",21,"429,017","216,407","51,690","1,274","7,421,572","579,720","6,829,174"
9,Tennessee,"586,802",,"6,907",,"508,914","70,981","85,926","1,011","5,571,715","815,870","10,488,084"
10,North Carolina,"539,545",,"6,748",,"403,488","129,309","51,444",643,"6,898,509","657,747","7,278,717"
11,Arizona,"539,150","8,883","9,061",46,"76,934","453,155","74,072","1,245","3,296,944","452,957","9,986,857"
12,Michigan,"528,621",,"13,018",,"318,389","197,214","52,932","1,304","8,630,181","864,154","6,732,219"
13,Indiana,"517,773",,"8,371",,"345,474","163,928","76,910","1,243","5,730,043","851,137","8,882,190"
14,New Jersey,"491,951",,"19,297",,"240,953","231,701","55,386","2,173","7,792,714","877,342","5,822,434"
15,Wisconsin,"483,007",,"4,869",,"450,358","27,780","82,956",836,"2,840,064","487,780","6,137,428"
16,Missouri,"424,972",,"6,081",,"133,648","285,243","69,243",991,"4,149,352","676,073","5,639,632"
17,Minnesota,"417,832","2,530","5,436",54,"398,199","14,197","74,089",964,"5,616,567","995,910","6,892,503"
